d_id,o_id,allflows
OD0000001,E02001453,352
OD0000003,E02001453,293
E02006934,E02001453,256
E02001453,E02001453,236
E02001465,E02001453,209
E02001458,E02001453,188
E02006932,E02001453,142
E02001450,E02001453,132
E02001453,E02001450,131
E02001453,E02001449,119
E02001453,E02001458,114
E02001453,E02001456,112
E02006933,E02001453,101
E02001456,E02001453,89
E02001460,E02001453,85
E02001453,E02001460,77
E02001449,E02001453,72
E02001377,E02001453,70
E02001453,E02001452,67
E02001466,E02001453,65
E02001432,E02001453,64
E02001457,E02001453,64
E02001331,E02001453,57
E02001347,E02001453,57
E02001404,E02001453,55
E02001360,E02001453,53
E02001461,E02001453,53
E02001453,E02001462,53
E02001463,E02001453,43
E02001455,E02001453,40
E02001452,E02001453,36
E02001372,E02001453,36
E02001448,E02001453,35
E02001453,E02001441,34
E02001368,E02001453,34
E02001453,E02001459,33
E02001453,E02001451,31
E02001444,E02001453,31
E02001453,E02001444,29
E02001453,E02001443,28
E02001453,E02001466,28
E02001351,E02001453,28
E02001459,E02001453,27
E02001453,E02001465,27
E02001464,E02001453,26
E02001442,E02001453,26
E02001453,E02001461,26
E02001453,E02001464,26
E02001441,E02001453,25
E02001453,E02001463,25
E02001446,E02001453,24
E02001453,E02001447,24
E02001453,E02001455,24
E02001453,E02001446,24
E02001453,E02001442,22
E02001453,E02001448,22
E02001462,E02001453,22
E02001369,E02001453,21
E02001453,E02001349,21
E02001453,E02001457,21
E02001352,E02001453,20
E02001454,E02001453,19
E02001396,E02001453,19
E02005310,E02001453,18
E02001453,E02001445,18
E02001381,E02001453,16
E02001394,E02001453,16
E02001435,E02001453,16
E02001329,E02001453,16
E02001453,E02005315,16
E02001453,E02001437,16
E02001453,E02001358,16
E02004547,E02001453,15
E02001453,E02001328,15
E02001346,E02001453,15
E02001482,E02001453,15
E02002593,E02001453,14
OD0000002,E02001453,14
E02001443,E02001453,14
E02001439,E02001453,14
E02001373,E02001453,13
E02001354,E02001453,13
E02001436,E02001453,13
E02001390,E02001453,13
E02001383,E02001453,13
E02005313,E02001453,12
E02003803,E02001453,12
E02001419,E02001453,12
E02002598,E02001453,12
E02001358,E02001453,12
E02001451,E02001453,12
E02001453,E02001360,11
E02001453,E02001367,11
E02001374,E02001453,11
E02001453,E02001439,11
E02001341,E02001453,11
E02001453,E02001440,11
E02002607,E02001453,11
E02002586,E02001453,11
E02002582,E02001453,11
E02001453,E02001454,11
E02001453,E02001331,10
E02001348,E02001453,10
E02001437,E02001453,10
E02001453,E02001438,10
E02001453,E02006933,10
E02001393,E02001453,9
E02001367,E02001453,9
E02001453,E02001369,9
E02001453,E02001432,9
E02005306,E02001453,9
E02001453,E02001385,9
E02001453,E02001430,9
E02001424,E02001453,8
E02001342,E02001453,8
E02001453,E02001335,8
E02005318,E02001453,8
E02001453,E02001435,8
E02001453,E02001348,8
E02001453,E02001434,8
E02002581,E02001453,8
E02001447,E02001453,8
E02001350,E02001453,8
E02001453,E02001433,8
E02001453,E02001351,7
E02001401,E02001453,7
E02005307,E02001453,7
E02001430,E02001453,7
E02001402,E02001453,7
E02001438,E02001453,7
E02001453,E02001393,7
E02001453,E02001387,7
E02001431,E02001453,7
E02001388,E02001453,7
E02001453,E02001347,7
E02001376,E02001453,7
E02001335,E02001453,7
E02001343,E02001453,7
E02001184,E02001453,7
E02001366,E02001453,7
E02001453,E02005309,7
E02001453,E02001361,6
E02001453,E02005306,6
E02001502,E02001453,6
E02001453,E02005311,6
E02001453,E02001340,6
E02001453,E02005310,6
E02001453,E02001373,6
E02001378,E02001453,6
E02001370,E02001453,6
E02002580,E02001453,6
E02001333,E02001453,6
E02001300,E02001453,6
E02001160,E02001453,6
E02001365,E02001453,6
E02005312,E02001453,6
E02001453,E02001398,6
E02001453,E02001397,6
E02001453,E02001382,6
E02001434,E02001453,6
OD0000001,E02001450,448
E02006934,E02001450,250
OD0000003,E02001450,241
E02001450,E02001450,218
E02001450,E02001456,168
E02001458,E02001450,166
E02001465,E02001450,162
E02006932,E02001450,135
E02001450,E02001453,132
E02001453,E02001450,131
E02001450,E02001458,118
E02001450,E02001449,111
E02001456,E02001450,109
E02001460,E02001450,87
E02001450,E02001460,75
E02006933,E02001450,73
E02001449,E02001450,69
E02001347,E02001450,57
E02001432,E02001450,56
E02001377,E02001450,52
E02001457,E02001450,49
E02001450,E02001459,49
E02001450,E02001464,42
E02001466,E02001450,40
E02001444,E02001450,37
E02001450,E02001462,36
E02001450,E02001452,35
E02001368,E02001450,35
E02001372,E02001450,35
E02001450,E02001466,33
E02005310,E02001450,31
E02001331,E02001450,30
E02001351,E02001450,30
E02001462,E02001450,29
E02001450,E02001442,28
E02001450,E02001441,28
E02001442,E02001450,27
E02001464,E02001450,27
E02001450,E02001444,27
E02001360,E02001450,26
E02001450,E02001443,26
E02001450,E02001461,26
E02001461,E02001450,25
E02001463,E02001450,23
E02001369,E02001450,22
E02001482,E02001450,22
E02001404,E02001450,22
E02001450,E02001463,21
E02001436,E02001450,21
E02001448,E02001450,21
E02001450,E02001465,20
E02001374,E02001450,20
E02001437,E02001450,19
E02001455,E02001450,19
E02001450,E02001457,18
E02001459,E02001450,18
E02001396,E02001450,16
E02001441,E02001450,15
E02005313,E02001450,14
E02001383,E02001450,14
E02001439,E02001450,14
E02001335,E02001450,14
E02001452,E02001450,14
E02001393,E02001450,14
E02001434,E02001450,13
E02001450,E02001455,13
E02001435,E02001450,13
E02001450,E02001447,12
E02001446,E02001450,12
E02006902,E02001450,12
E02001373,E02001450,12
E02001450,E02001349,11
E02001354,E02001450,11
E02005307,E02001450,11
E02001419,E02001450,11
E02002607,E02001450,11
E02001450,E02001432,10
E02001450,E02001439,10
E02001450,E02001448,10
E02001329,E02001450,10
E02001450,E02001451,10
E02001342,E02001450,10
E02001352,E02001450,10
E02001450,E02001437,10
E02006912,E02001450,9
E02001450,E02001438,9
E02001450,E02001445,9
E02001450,E02001434,9
E02001394,E02001450,9
E02001450,E02001365,9
E02001430,E02001450,9
E02003803,E02001450,9
E02001447,E02001450,9
E02001364,E02001450,8
E02001450,E02001446,8
E02001381,E02001450,8
E02001294,E02001450,8
E02001450,E02001328,8
E02001348,E02001450,8
E02001431,E02001450,8
E02001450,E02001435,8
E02001443,E02001450,8
E02001438,E02001450,8
OD0000002,E02001450,8
E02001450,E02001358,8
E02001417,E02001450,8
E02002582,E02001450,8
E02002598,E02001450,8
E02001450,E02001431,7
E02001450,E02001454,7
E02001450,E02001331,7
E02001450,E02005309,7
E02001184,E02001450,7
E02001343,E02001450,7
E02001355,E02001450,7
E02001356,E02001450,7
E02002593,E02001450,7
E02001502,E02001450,7
E02001370,E02001450,7
OD0000004,E02001450,6
E02001160,E02001450,6
E02001450,E02001388,6
E02001424,E02001450,6
E02001445,E02001450,6
E02001451,E02001450,6
E02001401,E02001450,6
E02001399,E02001450,6
E02005269,E02001450,6
E02005315,E02001450,6
E02001366,E02001450,6
E02001365,E02001450,6
E02001341,E02001450,6
E02001450,E02005315,6
